Name,Crossing Number,Jones,Volume,Meridian Length,Mosaic/Tile-Number
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,{ 4 ; 12 }
10_5,10,-t^(-9)+ 2*t^(-8)-3*t^(-7)+ 4*t^(-6)-5*t^(-5)+ 5*t^(-4)-4*t^(-3)+ 4*t^(-2)-2*t^(-1)+ 2-t,7.3739351342,1.269457211,{ 7 ; 27 }
10_6,10,1-t+ 3*t^2-4*t^3+ 5*t^4-6*t^5+ 6*t^6-5*t^7+ 3*t^8-2*t^9+ t^10,8.3909376067,1.262997794,{ 7 ; 27 }
10_7,10,t^(-1)-2+ 4*t-5*t^2+ 7*t^3-7*t^4+ 6*t^5-5*t^6+ 3*t^7-2*t^8+ t^9,9.1159063956,1.284710432,{ 7 ; 27 }
10_8,10,t^(-2)-t^(-1)+ 2-3*t+ 4*t^2-4*t^3+ 4*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,6.0832348370,1.658011275,{ 7 ; 27 }
10_9,10,t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 6*t-6*t^2+ 6*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,8.2940996752,1.427083734,{ 7 ; 27 }
10_10,10,-t^(-7)+ 2*t^(-6)-3*t^(-5)+ 5*t^(-4)-6*t^(-3)+ 7*t^(-2)-7*t^(-1)+ 6-4*t+ 3*t^2-t^3,9.1805736441,1.282900099,{ 7 ; 27 }
10_11,10,t^(-3)-t^(-2)+ 3*t^(-1)-5+ 6*t-7*t^2+ 7*t^3-6*t^4+ 4*t^5-2*t^6+ t^7,9.3704424413,1.380226141,{ 6 ; 27 }
10_12,10,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-7*t^(-4)+ 8*t^(-3)-7*t^(-2)+ 6*t^(-1)-3+ 2*t-t^2,9.8174951906,1.316651839,{ 6 ; 27 }
10_13,10,t^(-4)-2*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 8-9*t+ 8*t^2-6*t^3+ 4*t^4-2*t^5+ t^6,10.5784801904,1.244713024,{ 7 ; 27 }
10_14,10,1-2*t+ 4*t^2-6*t^3+ 9*t^4-9*t^5+ 9*t^6-8*t^7+ 5*t^8-3*t^9+ t^10,10.9376894144,1.258695373,{ 7 ; 27 }
10_15,10,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 7*t^(-1)-6+ 5*t-3*t^2+ 2*t^3-t^4,8.9734493260,1.288935639,{ 7 ; 27 }
10_16,10,t^(-3)-2*t^(-2)+ 4*t^(-1)-5+ 7*t-8*t^2+ 7*t^3-6*t^4+ 4*t^5-2*t^6+ t^7,9.5466423050,1.385302698,{ 7 ; 27 }
10_17,10,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ 2*t^4-t^5,8.5367555991,1.59411144,{ 7 ; 27 }
10_18,10,t^(-3)-2*t^(-2)+ 4*t^(-1)-6+ 8*t-9*t^2+ 9*t^3-7*t^4+ 5*t^5-3*t^6+ t^7,10.6398442712,1.245552659,{ 7 ; 27 }
10_19,10,-t^(-4)+ 2*t^(-3)-3*t^(-2)+ 6*t^(-1)-7+ 8*t-8*t^2+ 7*t^3-5*t^4+ 3*t^5-t^6,9.8447713026,1.461466984,{ 7 ; 27 }
10_20,10,t^(-1)-1+ 3*t-4*t^2+ 5*t^3-6*t^4+ 5*t^5-4*t^6+ 3*t^7-2*t^8+ t^9,8.3173787184,1.322309264,{ 6 ; 27 }
10_21,10,1-2*t+ 4*t^2-5*t^3+ 7*t^4-7*t^5+ 7*t^6-6*t^7+ 3*t^8-2*t^9+ t^10,9.6751411441,1.345687364,{ 6 ; 27 }
10_22,10,t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 8-8*t+ 7*t^2-6*t^3+ 4*t^4-2*t^5+ t^6,9.9818665178,1.373749841,{ 6 ; 27 }
10_23,10,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 7*t^(-5)-9*t^(-4)+ 10*t^(-3)-9*t^(-2)+ 8*t^(-1)-5+ 3*t-t^2,11.3932246348,1.256462362,{ 7 ; 29 }
10_24,10,t^(-1)-2+ 5*t-7*t^2+ 9*t^3-9*t^4+ 8*t^5-7*t^6+ 4*t^7-2*t^8+ t^9,10.9774547368,1.26737942,{ 7 ; 27 }
10_25,10,1-2*t+ 5*t^2-7*t^3+ 10*t^4-11*t^5+ 10*t^6-9*t^7+ 6*t^8-3*t^9+ t^10,11.8757796036,1.291794998,{ 7 ; 27 }
10_26,10,t^(-4)-3*t^(-3)+ 6*t^(-2)-8*t^(-1)+ 10-10*t+ 9*t^2-7*t^3+ 4*t^4-2*t^5+ t^6,11.3520175579,1.393020263,{ 7 ; 27 }
